"variable","variable_label","value_code","value_label"
"selfcensor","At your law school, how often, if at all, have you felt you could not express your opinion on a subject because of how students, colleagues, or the administration would respond?",1,"Never"
"selfcensor","At your law school, how often, if at all, have you felt you could not express your opinion on a subject because of how students, colleagues, or the administration would respond?",2,"Rarely"
"selfcensor","At your law school, how often, if at all, have you felt you could not express your opinion on a subject because of how students, colleagues, or the administration would respond?",3,"Occasionally"
"selfcensor","At your law school, how often, if at all, have you felt you could not express your opinion on a subject because of how students, colleagues, or the administration would respond?",4,"Fairly often, a couple times a week"
"selfcensor","At your law school, how often, if at all, have you felt you could not express your opinion on a subject because of how students, colleagues, or the administration would respond?",5,"Very often, nearly every day"
"adminclear","How clear is it to you that your law school’s administration protects free speech on campus?",1,"Not at all clear"
"adminclear","How clear is it to you that your law school’s administration protects free speech on campus?",2,"Not very clear"
"adminclear","How clear is it to you that your law school’s administration protects free speech on campus?",3,"Somewhat clear"
"adminclear","How clear is it to you that your law school’s administration protects free speech on campus?",4,"Very clear"
"adminclear","How clear is it to you that your law school’s administration protects free speech on campus?",5,"Extremely clear"
"admincontr","If a controversy over offensive speech were to occur at your law school, how likely is it that your law school’s administration would sanction or take action against the speaker?",1,"Not at all likely"
"admincontr","If a controversy over offensive speech were to occur at your law school, how likely is it that your law school’s administration would sanction or take action against the speaker?",2,"Not very likely"
"admincontr","If a controversy over offensive speech were to occur at your law school, how likely is it that your law school’s administration would sanction or take action against the speaker?",3,"Somewhat likely"
"admincontr","If a controversy over offensive speech were to occur at your law school, how likely is it that your law school’s administration would sanction or take action against the speaker?",4,"Very likely"
"admincontr","If a controversy over offensive speech were to occur at your law school, how likely is it that your law school’s administration would sanction or take action against the speaker?",5,"Extremely likely"
"worryrep","How worried, if at all, are you about damaging your reputation because someone misunderstands something you have said or done?",1,"Not at all worried"
"worryrep","How worried, if at all, are you about damaging your reputation because someone misunderstands something you have said or done?",2,"Not too worried"
"worryrep","How worried, if at all, are you about damaging your reputation because someone misunderstands something you have said or done?",3,"Slightly worried"
"worryrep","How worried, if at all, are you about damaging your reputation because someone misunderstands something you have said or done?",4,"Somewhat worried"
"worryrep","How worried, if at all, are you about damaging your reputation because someone misunderstands something you have said or done?",5,"Very worried"
"worryjob","How worried, if at all, are you about losing your job because someone misunderstands something you have said or done?",1,"Not at all worried"
"worryjob","How worried, if at all, are you about losing your job because someone misunderstands something you have said or done?",2,"Not too worried"
"worryjob","How worried, if at all, are you about losing your job because someone misunderstands something you have said or done?",3,"Slightly worried"
"worryjob","How worried, if at all, are you about losing your job because someone misunderstands something you have said or done?",4,"Somewhat worried"
"worryjob","How worried, if at all, are you about losing your job because someone misunderstands something you have said or done?",5,"Very worried"
"fa_insult","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech directed at a specific individual in a personally insulting or demeaning manner.",1,"No protection"
"fa_insult","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech directed at a specific individual in a personally insulting or demeaning manner.",2,"Minimal protection"
"fa_insult","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech directed at a specific individual in a personally insulting or demeaning manner.",3,"Some protection"
"fa_insult","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech directed at a specific individual in a personally insulting or demeaning manner.",4,"Complete protection"
"fa_insult","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech directed at a specific individual in a personally insulting or demeaning manner.",5,"Don’t know / uncertain"
"fa_offen","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech addressed to a general audience, even if some people find it deeply offensive.",1,"No protection"
"fa_offen","The following series of questions ask your opinion about speech that conveys ideas that are seen as offensive on the basis of immutable characteristics. 

In your opinion, regardless of current First Amendment law, how much protection, if any, should the First Amendment afford the following types of speech? - Speech addressed to a general audience, even if some people find it deeply offensive.",2,"Minimal protection"
