"variable","variable_label","value_code","value_label"
"judgeview","How do you personally view judges’ decision making in the United States?",1,"Judges are entirely politically motivated."
"judgeview","How do you personally view judges’ decision making in the United States?",2,"Judges are mostly politically motivated."
"judgeview","How do you personally view judges’ decision making in the United States?",3,"Judges are a mix of politically motivated and politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",4,"Judges are mostly politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",5,"Judges are completely politically neutral."
"judgeview","How do you personally view judges’ decision making in the United States?",6,"Don’t know / unsure."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",1,"Judges are entirely politically motivated."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",2,"Judges are mostly politically motivated."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",3,"Judges are a mix of politically motivated and politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",4,"Judges are mostly politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",5,"Judges are completely politically neutral."
"judgeteach","In your teaching, how do you generally characterize judges’ decision making in the United States?",6,"I don’t characterize judges’ decision making as either politically motivated or politically neutral."
"Gender","What is your gender?",1,"Female"
"Gender","What is your gender?",2,"Male"
"Gender","What is your gender?",3,"Other / decline to state"
